Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
305                  6                    100                  0.8300000000         Equal GLC            67.1980185532        Equal GLC            26.6912539976       
306                  1                    100                  0.6600000000         Equal GLC            130.2417538988       Equal GLC            58.2131216704       
306                  2                    100                  0.8800000000         Unidimensional Y     71.3928534830        Equal GLC            30.8015355950       
306                  3                    100                  0.8800000000         Unidimensional X     65.9457713035        Unidimensional X     28.3677154658       
306                  4                    100                  0.9300000000         Unidimensional X     40.3981830596        Unidimensional X     15.5939213438       
306                  5                    100                  0.6800000000         Unidimensional Y     129.3868351715       Equal GLC            58.2624031909       
306                  6                    100                  0.6700000000         Biased Guessing      126.7780305970       Equal GLC            57.8594382630       
307                  1                    100                  0.3600000000         Biased Guessing      129.9790617005       Equal GLC            60.1012092797       
307                  2                    100                  0.8200000000         Unidimensional Y     88.0826559036        Equal GLC            39.3438069336       
307                  3                    100                  0.8400000000         Equal GLC            98.0126307812        Equal GLC            42.0985601116       
307                  4                    100                  0.9000000000         Equal GLC            81.1359712196        Equal GLC            33.6602303308       
307                  5                    100                  0.7600000000         Equal GLC            109.4535671991       Equal GLC            47.8190283206       
307                  6                    100                  0.7800000000         Unidimensional X     92.3391853382        Equal GLC            40.0920072366       
308                  1                    100                  0.4900000000         Unidimensional X     103.4670357903       Unidimensional X     47.1283477092       
308                  2                    100                  0.6000000000         Guessing             138.6294361120       Equal GLC            63.6578673986       
308                  3                    100                  0.5500000000         Biased Guessing      107.3965043094       Biased Guessing      51.3956670617       
308                  4                    100                  0.6100000000         Unidimensional Y     111.5858060301       Equal GLC            50.8542067583       
308                  5                    100                  0.7300000000         Equal GLC            106.0525482233       Equal GLC            46.1185188327       
308                  6                    100                  0.7400000000         Unidimensional X     97.8165099559        Equal GLC            43.7409209204       
310                  1                    100                  0.8100000000         Unidimensional Y     94.9624406597        Equal GLC            41.9882091899       
310                  2                    100                  0.8900000000         Unidimensional Y     49.3682563363        Equal GLC            18.7404557651       
