Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
8                    2                    100                  0.8400000000         Unidimensional Y     90.9721753824        Equal GLC            40.5533012359       
8                    3                    100                  0.8500000000         Unidimensional Y     88.8470594439        Equal GLC            39.7269959146       
8                    4                    100                  0.8600000000         Unidimensional X     76.6479079085        Unidimensional X     33.7187837682       
8                    5                    100                  0.9700000000         Unidimensional X     30.1969236762        Equal GLC            10.4862405392       
8                    6                    100                  0.9400000000         Unidimensional X     48.4242215010        Equal GLC            18.9730730525       
8                    7                    100                  0.8000000000         Unidimensional Y     97.8926769170        Equal GLC            43.0654751863       
8                    8                    100                  0.8000000000         Equal GLC            95.3086364398        Equal GLC            40.7465629409       
10                   1                    100                  0.9400000000         Unidimensional X     46.8739476952        Equal GLC            18.5538748630       
10                   2                    100                  0.9100000000         Unidimensional X     43.8306325221        Unidimensional X     17.3101460751       
10                   3                    100                  0.9400000000         Unidimensional X     31.4933044669        Equal GLC            11.1412798657       
10                   4                    100                  0.8800000000         Unidimensional Y     79.3110082448        Equal GLC            33.3276769850       
10                   5                    100                  0.9500000000         Equal GLC            46.1684991144        Equal GLC            16.1764942782       
10                   6                    100                  0.9200000000         Unidimensional Y     41.6998651002        Equal GLC            15.9596618534       
10                   7                    100                  0.7000000000         Equal GLC            119.4205070693       Equal GLC            52.8024982557       
10                   8                    100                  0.5700000000         Unidimensional Y     123.8381106484       Equal GLC            56.9622928796       
32                   1                    100                  0.5900000000         Biased Guessing      132.8122657622       Biased Guessing      64.1035477881       
32                   2                    100                  0.8300000000         Unidimensional Y     92.8734346456        Equal GLC            39.9039972541       
32                   3                    100                  0.8900000000         Unidimensional Y     78.6316284229        Equal GLC            33.1240171451       
32                   4                    100                  0.9700000000         Unidimensional X     28.2853986500        Equal GLC            9.5290980136        
32                   5                    100                  0.9400000000         Unidimensional X     46.6771548292        Unidimensional X     18.7334072286       
32                   6                    100                  0.9500000000         Unidimensional X     26.6595347379        Equal GLC            8.6999981989        
32                   7                    100                  0.7000000000         Equal GLC            131.7574836160       Equal GLC            58.9709865290       
32                   8                    100                  0.6100000000         Guessing             138.6294361120       Unidimensional Y     65.6767567792       
34                   1                    100                  0.7900000000         Equal GLC            113.5688352095       Equal GLC            49.8766623258       
34                   2                    100                  0.8900000000         Unidimensional Y     79.4556011828        Equal GLC            33.0276622815       
34                   3                    100                  0.9500000000         Unidimensional Y     44.2402595070        Equal GLC            16.0223528159       
34                   4                    100                  0.9500000000         Equal GLC            44.8680207100        Equal GLC            15.5262550760       
34                   5                    100                  0.9300000000         Unidimensional X     35.9060040111        Unidimensional X     13.3478318196       
34                   6                    100                  0.9300000000         Equal GLC            67.3249857989        Equal GLC            26.7547376205       
34                   7                    100                  0.6200000000         Equal GLC            132.7877998788       Equal GLC            59.4861446604       
34                   8                    100                  0.6500000000         Equal GLC            126.1387710458       Equal GLC            56.1616302439       
36                   1                    100                  0.7900000000         Equal GLC            67.3333874457        Equal GLC            26.7589384439       
36                   2                    100                  0.8600000000         Equal GLC            70.7816253728        Equal GLC            28.4830574074       
36                   3                    100                  0.8200000000         Equal GLC            78.0398383585        Equal GLC            32.1121639003       
36                   4                    100                  0.9300000000         Unidimensional X     60.5473842494        Equal GLC            24.9470025854       
36                   5                    100                  0.9900000000         Unidimensional X     21.5342045091        Equal GLC            5.0340723099        
36                   6                    100                  0.9500000000         Unidimensional X     33.9567946132        Equal GLC            10.8933625924       
36                   7                    100                  0.6100000000         Unidimensional X     136.7472710529       Equal GLC            63.7248739814       
36                   8                    100                  0.7000000000         Unidimensional Y     87.3914571302        Equal GLC            38.8977454508       
38                   1                    100                  0.8200000000         Unidimensional Y     98.1700315717        Equal GLC            44.4759840879       
38                   2                    100                  0.8900000000         Unidimensional Y     64.9073512721        Equal GLC            27.6375945641       
38                   3                    100                  0.8700000000         Unidimensional Y     66.9135422316        Equal GLC            28.6189268802       
38                   4                    100                  0.8800000000         Unidimensional X     72.4657582410        Equal GLC            30.7591366504       
38                   5                    100                  0.8500000000         Unidimensional X     67.3537507132        Unidimensional X     29.0717051706       
38                   6                    100                  0.9100000000         Unidimensional X     66.9170243111        Equal GLC            28.2168955685       
38                   7                    100                  0.6200000000         Equal GLC            134.7603255480       Equal GLC            60.4724074950       
38                   8                    100                  0.6900000000         Equal GLC            116.5514994696       Equal GLC            51.3679944558       
42                   1                    100                  0.8000000000         Unidimensional Y     102.3928672663       Equal GLC            45.5115407358       
42                   2                    100                  0.8400000000         Unidimensional Y     85.2967763969        Equal GLC            37.3031176807       
42                   3                    100                  0.8500000000         Unidimensional Y     84.0943154360        Equal GLC            37.4417237365       
42                   4                    100                  0.7900000000         Equal GLC            111.6467335440       Equal GLC            48.9156114930       
42                   5                    100                  0.9100000000         Equal GLC            77.6620507119        Equal GLC            31.9232700770       
42                   6                    100                  0.9000000000         Equal GLC            69.7965837606        Equal GLC            27.9905366013       
42                   7                    100                  0.6100000000         Guessing             138.6294361120       Equal GLC            66.4394191608       
42                   8                    100                  0.4700000000         Biased Guessing      107.3965043094       Biased Guessing      51.3956670617       
44                   1                    100                  0.8200000000         Unidimensional Y     97.2255872729        Equal GLC            43.6327874953       
44                   2                    100                  0.8300000000         Unidimensional Y     83.4837750701        Equal GLC            36.7188485007       
44                   3                    100                  0.9000000000         Unidimensional Y     65.8183837691        Equal GLC            27.7435582082       
44                   4                    100                  0.7200000000         Unidimensional Y     75.7188560359        Equal GLC            32.0147113347       
44                   5                    100                  0.7400000000         Equal GLC            115.3116224300       Equal GLC            50.7480559360       
44                   6                    100                  0.9400000000         Unidimensional X     44.0205042355        Unidimensional X     17.4050819318       
44                   7                    100                  0.7200000000         Unidimensional Y     117.4308754999       Equal GLC            53.6455823835       
44                   8                    100                  0.7300000000         Unidimensional Y     104.0489003643       Equal GLC            47.2986279558       
46                   1                    100                  0.5800000000         Guessing             138.6294361120       Equal GLC            66.6971588767       
46                   2                    100                  0.5400000000         Guessing             138.6294361120       Biased Guessing      69.2346967090       
46                   3                    100                  0.4900000000         Guessing             138.6294361120       Biased Guessing      68.3314913574       
46                   4                    100                  0.5000000000         Biased Guessing      119.2165536123       Equal GLC            53.2469986654       
46                   5                    100                  0.4900000000         Guessing             138.6294361120       Equal GLC            66.3805038758       
46                   6                    100                  0.5400000000         Guessing             138.6294361120       Biased Guessing      67.6858546735       
46                   7                    100                  0.5100000000         Guessing             138.6294361120       Biased Guessing      68.9943758458       
46                   8                    100                  0.5400000000         Guessing             138.6294361120       Biased Guessing      69.2947167224       
48                   1                    100                  0.8000000000         Equal GLC            110.0360387634       Equal GLC            48.1102641027       
48                   2                    100                  0.8400000000         Equal GLC            88.2880076408        Equal GLC            37.2362485414       
48                   3                    100                  0.9200000000         Unidimensional Y     50.9507164987        Equal GLC            20.3478706194       
48                   4                    100                  0.8600000000         Equal GLC            79.8669737580        Equal GLC            33.0257316000       
48                   5                    100                  0.9000000000         Equal GLC            66.3708900694        Equal GLC            26.2776897557       
48                   6                    100                  0.9300000000         Equal GLC            47.2414927327        Equal GLC            16.7129910874       
48                   7                    100                  0.7400000000         Equal GLC            106.1680652034       Equal GLC            46.1762773227       
48                   8                    100                  0.7100000000         Unidimensional X     104.7215947338       Unidimensional X     47.7556271809       
55                   1                    100                  0.9200000000         Equal GLC            65.6187126846        Equal GLC            25.9016010633       
55                   2                    100                  0.9200000000         Unidimensional Y     43.0030158643        Equal GLC            16.3563698197       
55                   3                    100                  0.9300000000         Unidimensional Y     43.9052903240        Equal GLC            15.4955391233       
55                   4                    100                  0.9100000000         Unidimensional X     57.6930561858        Equal GLC            22.4165276220       
55                   5                    100                  0.9700000000         Unidimensional X     22.4387860010        Equal GLC            5.9171185277        
55                   6                    100                  0.9800000000         Unidimensional X     22.6932531880        Equal GLC            6.7414564080        
55                   7                    100                  0.6600000000         Equal GLC            135.7349916851       Equal GLC            60.9597405636       
55                   8                    100                  0.8200000000         Equal GLC            88.3013280190        Equal GLC            37.2429087305       
58                   1                    100                  0.8100000000         Equal GLC            91.9041158396        Equal GLC            39.0443026408       
58                   2                    100                  0.9200000000         Unidimensional Y     49.5168242030        Equal GLC            19.1068606265       
58                   3                    100                  0.9600000000         Unidimensional Y     39.3757518528        Equal GLC            14.2588088343       
58                   4                    100                  0.5900000000         Unidimensional Y     136.8557291506       Equal GLC            63.4796393132       
58                   5                    100                  0.6000000000         Guessing             138.6294361120       Equal GLC            64.7791365242       
58                   6                    100                  0.7700000000         Equal GLC            107.8561033705       Equal GLC            47.0202964062       
58                   7                    100                  0.5500000000         Guessing             138.6294361120       Biased Guessing      69.2947167224       
58                   8                    100                  0.5400000000         Guessing             138.6294361120       Equal GLC            66.9746086403       
102                  1                    100                  0.7400000000         Equal GLC            119.2403044085       Equal GLC            52.7123969253       
102                  2                    100                  0.7500000000         Unidimensional Y     101.3505164204       Equal GLC            45.4042968434       
102                  3                    100                  0.7600000000         Equal GLC            105.3337224051       Equal GLC            45.7591059236       
102                  4                    100                  0.9500000000         Equal GLC            51.2959402600        Equal GLC            18.7402148510       
102                  5                    100                  0.9200000000         Unidimensional X     45.7831913659        Unidimensional X     18.2864254970       
102                  6                    100                  0.9800000000         Unidimensional X     35.9060040111        Unidimensional X     13.3478318196       
102                  7                    100                  0.7700000000         Unidimensional X     97.9678220079        Equal GLC            42.5936159409       
102                  8                    100                  0.7200000000         Unidimensional X     103.3935228641       Equal GLC            47.0522003929       
104                  1                    100                  0.9300000000         Equal GLC            58.1465757881        Equal GLC            22.1655326151       
104                  2                    100                  0.9200000000         Unidimensional X     52.4603766595        Equal GLC            20.3618645036       
